id,slug,name,name_ar,description,description_ar,level_id,level_name,level_name_ar,color,icon,courses_count,url,source,collected_at
sciences-unknown,sciences-unknown,Sciences,العلوم,Cours de sciences,دروس العلوم,unknown,Unknown,Unknown,#f59e0b,Microscope,22,https://www.alloschool.com/course/sciences-industrielles-de-l-ingenieur-sii-ptsi,public_website,2025-10-22T23:35:22Z
sciences-unknown,sciences-unknown,Sciences,العلوم,Cours de sciences,دروس العلوم,unknown,Unknown,Unknown,#f59e0b,Microscope,25,https://www.alloschool.com/category/life-and-earth-sciences?hl=ar,public_website,2025-10-22T23:35:19Z
mathematiques-unknown,mathematiques-unknown,Mathématiques,الرياضيات,Cours de mathématiques,دروس الرياضيات,unknown,Unknown,Unknown,#3b82f6,Calculator,16,https://www.alloschool.com/course/mathematiques-4eme,public_website,2025-10-22T23:35:22Z
mathematiques-unknown,mathematiques-unknown,Mathématiques,الرياضيات,Cours de mathématiques,دروس الرياضيات,unknown,Unknown,Unknown,#3b82f6,Calculator,27,https://www.alloschool.com/category/mathematical-sciences?hl=ar,public_website,2025-10-22T23:35:20Z
physique-unknown,physique-unknown,Physique,الفيزياء,Cours de physique,دروس الفيزياء,unknown,Unknown,Unknown,#f59e0b,Atom,25,https://www.alloschool.com/course/concours-physique-et-chimie-pt,public_website,2025-10-22T23:35:22Z
physique-unknown,physique-unknown,Physique,الفيزياء,Cours de physique,دروس الفيزياء,unknown,Unknown,Unknown,#f59e0b,Atom,31,https://www.alloschool.com/course/concours-physique-et-chimie-tsi,public_website,2025-10-22T23:35:20Z
mathematiques-unknown,mathematiques-unknown,Mathématiques,الرياضيات,Cours de mathématiques,دروس الرياضيات,unknown,Unknown,Unknown,#3b82f6,Calculator,25,https://www.alloschool.com/category/mathematical-sciences-a?hl=ar,public_website,2025-10-22T23:35:23Z
physique-unknown,physique-unknown,Physique,الفيزياء,Cours de physique,دروس الفيزياء,unknown,Unknown,Unknown,#f59e0b,Atom,16,https://www.alloschool.com/course/physique-et-chimie-pc,public_website,2025-10-22T23:35:20Z
informatique-unknown,informatique-unknown,Informatique,المعلوماتية,Cours de informatique,دروس المعلوماتية,unknown,Unknown,Unknown,#6366f1,Monitor,34,https://www.alloschool.com/course/informatique-tronc-commun-technologique,public_website,2025-10-22T23:35:22Z
sciences-unknown,sciences-unknown,Sciences,العلوم,Cours de sciences,دروس العلوم,unknown,Unknown,Unknown,#f59e0b,Microscope,16,https://www.alloschool.com/course/sciences-de-la-vie-et-de-la-terre-svt-4eme,public_website,2025-10-22T23:35:20Z
sciences-unknown,sciences-unknown,Sciences,العلوم,Cours de sciences,دروس العلوم,unknown,Unknown,Unknown,#f59e0b,Microscope,17,https://www.alloschool.com/category/human-sciences?hl=ar,public_website,2025-10-22T23:35:23Z
mathematiques-unknown,mathematiques-unknown,Mathématiques,الرياضيات,Cours de mathématiques,دروس الرياضيات,unknown,Unknown,Unknown,#3b82f6,Calculator,23,https://www.alloschool.com/category/mathematical-sciences-b,public_website,2025-10-22T23:35:21Z
anglais-unknown,anglais-unknown,Anglais,الإنجليزية,Cours de anglais,دروس الإنجليزية,unknown,Unknown,Unknown,#8b5cf6,Globe,34,https://www.alloschool.com/course/anglais-tronc-commun-technologique,public_website,2025-10-22T23:35:22Z
sciences-unknown,sciences-unknown,Sciences,العلوم,Cours de sciences,دروس العلوم,unknown,Unknown,Unknown,#f59e0b,Microscope,29,https://www.alloschool.com/category/sciences?hl=ar,public_website,2025-10-22T23:35:20Z
sciences-unknown,sciences-unknown,Sciences,العلوم,Cours de sciences,دروس العلوم,unknown,Unknown,Unknown,#f59e0b,Microscope,14,https://www.alloschool.com/course/sciences-premiere-es,public_website,2025-10-22T23:35:22Z
mathematiques-unknown,mathematiques-unknown,Mathématiques,الرياضيات,Cours de mathématiques,دروس الرياضيات,unknown,Unknown,Unknown,#3b82f6,Calculator,12,https://www.alloschool.com/course/mathematiques-terminale-l-1,public_website,2025-10-22T23:35:20Z
sciences-unknown,sciences-unknown,Sciences,العلوم,Cours de sciences,دروس العلوم,unknown,Unknown,Unknown,#f59e0b,Microscope,22,https://www.alloschool.com/course/sciences-de-la-vie-et-de-la-terre-svt-terminale-s-specifique,public_website,2025-10-22T23:35:23Z
mathematiques-unknown,mathematiques-unknown,Mathématiques,الرياضيات,Cours de mathématiques,دروس الرياضيات,unknown,Unknown,Unknown,#3b82f6,Calculator,16,https://www.alloschool.com/course/mathematiques-pc-1,public_website,2025-10-22T23:35:20Z
